"Ref_lead_author","Ref_publication_date","Ref_title","Ref_html_link","Ref_DOI_number","Application","Application_specific","Mode","Tribopositive","Tribonegative","Electrode","Open_circuit_voltage","Short_circuit_current","Power_density","Current_density","Charge_density","Thickness","Area","Operating_frequency"
"Xin Yu","2023/09/05","A press-rotary triboelectric-electromagnetic hybrid energy harvesting device for indoor IoT node power supply and smart home control  ","https://pubs.rsc.org/en/content/articlehtml/2023/se/d3se00690e","10.1039/D3SE00690E","energy harvester","use of energy from motion","contact-separation","","","copper","54.6 V","47.3 mA","","","","","",""
"B. S. Athira","2023/11/10","An electrospun PVDF-KNN nanofiber based lead-free piezoelectric nanogenerator for mechanical energy scavenging and self-powered force sensing applications  ","https://pubs.rsc.org/en/content/articlehtml/2023/se/d3se00880k","10.1039/D3SE00880K","sensor","tactile/motion sensor","","","PVDF","","40 V","","3 mW m−2","5 mA m−2","","","10 mm × 4 mm","3 Hz"
"Jing Zhao","2023/09/13","Self-powered sensor for monitoring wind vibration on transmission lines based on an electromagnetic-triboelectric hybrid generator  ","https://pubs.rsc.org/en/content/articlehtml/2023/se/d3se00995e","10.1039/D3SE00995E","sensor","","","","","copper","128 V","9 mA","18.45 W m−2","","","","","70 Hz"
"Srinivas Pattipaka","2024/01/04","A nanoscale surface engineered magneto-mechano-triboelectric nanogenerator enabled by reliable pattern replication for self-powered IoT devices  ","https://pubs.rsc.org/en/content/articlehtml/2024/se/d3se01206a","10.1039/D3SE01206A","sensor","tactile/motion sensor","","","silicone rubber","Pt","264 V","","","","0.77 μC m−2","","","106 Hz"
"Payel Maiti","2024/01/10","Morphotropic phase boundary-based BaTi 0.89 Sn 0.11 O 3 filler induced polarization tuned P(VDF-TrFE) composites as efficient piezo-tribo hybrid nanogenerators  ","https://pubs.rsc.org/en/content/articlehtml/2024/se/d3se01682j","10.1039/D3SE01682J","energy harvester","use of energy from motion","contact-separation","","PVDF","aluminium","195 V","25 μA","430 μW cm−2","","10.83 μC cm−2","","","5 Hz"
"Rayyan Ali Shaukat","2023/05/23","Organic semiconductor polymers: a carbazole-based novel tribopositive polymer for energy harvesting with high temperature stability  ","https://pubs.rsc.org/en/content/articlehtml/2023/ta/d3ta01224g","10.1039/D3TA01224G","energy harvester","","contact-separation","cellulose","polystyrene","platinum","796 V","46 μA","148 μW cm−2","","","","3.5×3.5 cm2","10 Hz"
"Xue Shi","2023/05/12","A strong, biodegradable, and recyclable all-lignocellulose fabricated triboelectric nanogenerator for self-powered disposable medical monitoring  ","https://pubs.rsc.org/en/content/articlehtml/2023/ta/d3ta01763j","10.1039/D3TA01763J","sensor","tactile/motion sensor","","wood","","carbon","31 V","0.2 μA","10 mW m−2","","","","2×2 cm2",""
"Wei Xu","2023/08/08","Robust and durable triboelectric nanogenerators enabled by a mechanically strong and mildly healable polymer  ","https://pubs.rsc.org/en/content/articlehtml/2023/ta/d3ta02340k","10.1039/D3TA02340K","sensor","tactile/motion sensor","","","","Ag","28 V","2.86 μA","2.9 mW m−2","","","","","8 Hz"
"Xinyu Hao","2023/07/06","Low-frequency AC-photocatalysis coupling for high-efficiency removal of organic pollutants from water based on the self-powered triboelectric nanogenerator  ","https://pubs.rsc.org/en/content/articlehtml/2023/ta/d3ta02569a","10.1039/D3TA02569A","sensor","tactile/motion sensor","freestanding","","","","21.5 V","0.79 μA","","0.51 mA cm−2","","","","2.5 Hz"
"Inkyum Kim","2023/09/15","Maximizing energy efficiency with a mirror-structured hybrid generator leveraging triboelectric and photovoltaic cells for optimal coverage and wind awareness  ","https://pubs.rsc.org/en/content/articlehtml/2023/ta/d3ta04540d","10.1039/D3TA04540D","sensor","tactile/motion sensor","","ABS","fluorinated ethylene propylene","Al","","","2.258 W m−2","0.968 A m−2","","","",""
"Hongde Zhu","2023/10/17","A multimodal PDMS triboelectric nanogenerator sensor based on anodised aluminium oxide template preparation for object recognition  ","https://pubs.rsc.org/en/content/articlehtml/2023/ta/d3ta04690g","10.1039/D3TA04690G","sensor","audio sensor","contact-separation","","PDMS","copper","0.04 V","","3.96 mW m−2","","","","","1 Hz"
"Xin Pan","2023/10/10","Tribovoltaic effect promotes highly efficient direct current generator  ","https://pubs.rsc.org/en/content/articlehtml/2023/ta/d3ta04807a","10.1039/D3TA04807A","sensor","tactile/motion sensor","","","FEP","Cu","26 V","22.5 μA","","","","","1 cm2",""
"Viet Anh Cao","2023/12/22","A triboelectric nanogenerator using degradable surface-modified cellulose acetate and ferroelectric gelatin composite nanofibers  ","https://pubs.rsc.org/en/content/articlehtml/2024/ta/d3ta04879a","10.1039/D3TA04879A","energy harvester","use of energy from water/fluid","","cellulose","","","300 V","","500 μW cm−2","10 μA cm−2","18 μC cm−2","","5×5 cm2","10 Hz"
"Maosen Yang","2023/10/04","Highly sensitive self-powered ammonia gas detection enabled by a rationally designed PANI/commercial cellulosic paper based triboelectric nanogenerator  ","https://pubs.rsc.org/en/content/articlehtml/2023/ta/d3ta04974d","10.1039/D3TA04974D","sensor","","","cellulose","Kapton","aluminum","23 V","","162 mW m−2","","","","2 cm × 2 cm","2 Hz"
"Marjan Haghayegh","2023/11/06","Hierarchically spring nanofibrous and wrinkled-structured electrode for highly comfortable wearable triboelectric nanogenerators  ","https://pubs.rsc.org/en/content/articlehtml/2023/ta/d3ta04988d","10.1039/D3TA04988D","energy harvester","use of energy from motion","contact-separation","nylon","","aluminum","","","10.23 mW cm−2","","","","3 cm × 3 cm","2 Hz"
"Zahir Abbas","2023/11/28","Triboelectric nanogenerators enhanced by a metal–organic framework for sustainable power generation and air mouse technology  ","https://pubs.rsc.org/en/content/articlehtml/2023/ta/d3ta05178a","10.1039/D3TA05178A","energy harvester","use of energy from motion","contact-separation","hair","Kapton","copper","193.4 V","0.86 μA","0.124 W m−2","","0.1 mC m−2","","178 m2","106 Hz"
"Yiming Du","2023/12/03","Ethanol-assisted room-temperature rapid self-healing polydimethylsiloxane-polyurea/carbon composite elastomers for energy harvesters and smart sensors  ","https://pubs.rsc.org/en/content/articlehtml/2024/ta/d3ta05217f","10.1039/D3TA05217F","energy harvester","use of energy from motion","contact-separation","nylon","polydimethylsiloxane","","125 V","11.9 μA","","","","","","2 Hz"
"Bo Tang","2023/11/29","Natural wood-based triboelectric nanogenerators with high fire-safety for energy harvesting toward intelligent buildings  ","https://pubs.rsc.org/en/content/articlehtml/2023/ta/d3ta05449g","10.1039/D3TA05449G","energy harvester","use of energy from motion","","wood","fluorinated ethylene propylene","copper","350 V","7.48 μA","248.94 kW m−2","","","","20 mm × 20 mm","2 Hz"
"Ashitha George","2023/11/27","Directional freezing-induced self-poled piezoelectric nylon 11 aerogels as high-performance mechanical energy harvesters  ","https://pubs.rsc.org/en/content/articlehtml/2024/ta/d3ta05911a","10.1039/D3TA05911A","energy harvester","use of energy from motion","","nylon","","silver","200 mV","100 nA","0.1 W m−3","","","","","4 Hz"
"Hanchao Wang","2024/01/16","Fluorine-free coating-based droplet triboelectric nanogenerators for highly efficient energy harvesting  ","https://pubs.rsc.org/en/content/articlehtml/2024/ta/d3ta07103k","10.1039/D3TA07103K","energy harvester","use of energy from water/fluid","contact-separation","aluminum","","aluminum","140 V","450 μA","","","","electrode 50 μm ","300 cm2","1 Hz"
"Ankur Verma","2024/04/23","Vanadium disulfide-incorporated polymer nanocomposites for flexible piezoelectric energy generators and road safety sensors  ","https://pubs.rsc.org/en/content/articlehtml/2024/ta/d3ta07335a","10.1039/D3TA07335A","sensor","tactile/motion sensor","","","PDMS","gold","83 V","","114.4 μW cm−2","","","","4.5 cm × 4.5 cm",""
"Yitong Xie","2024/01/25","Biomimicking natural wood to fabricate isotropically super-strong, tough, and transparent hydrogels for strain sensor and triboelectric nanogenerator applications  ","https://pubs.rsc.org/en/content/articlehtml/2024/ta/d3ta08065j","10.1039/D3TA08065J","sensor","tactile/motion sensor","","cellulose","polytetrafluoroethylene","copper","10.6 V","","","","","","20 cm2",""
"Swati Panda","2023/10/11","Carbohydrate–protein interaction-based detection of pathogenic bacteria using a biodegradable self-powered biosensor  ","https://pubs.rsc.org/en/content/articlehtml/2023/tb/d3tb01820b","10.1039/D3TB01820B","sensor","","contact-separation","","PDMS","silver","70 V","6 μA","","","","","","1 Hz"
"Liang Lu","2023/07/18","Natural bioproducts’ hybridization creates transient dynamic electret nanogenerators  ","https://pubs.rsc.org/en/content/articlehtml/2023/tc/d3tc01240a","10.1039/D3TC01240A","sensor","tactile/motion sensor","","","","copper","28.5 V","1.2 μA","2.9 μW cm−3","","","","","1.0 Hz"
"Jincheng Liu","2023/08/10","A PA66 lamellar crystal film with excellent triboelectric performance in vertical contact separation mode  ","https://pubs.rsc.org/en/content/articlehtml/2023/tc/d3tc02258g","10.1039/D3TC02258G","sensor","tactile/motion sensor","","nylon","FEP","copper","174.63 V","9.52 μA","0.67 W m−2","","","","","2 Hz"
"Sasan Rezaei","2023/10/18","Super-hydrophobic and resilient hybrid silica aerogels for thermal insulation, energy harvesting, and electrical applications in harsh environments  ","https://pubs.rsc.org/en/content/articlehtml/2023/tc/d3tc02862c","10.1039/D3TC02862C","energy harvester","use of energy from water/fluid","freestanding","nylon","","","","","0.723 W m−2","","","","546.37 m2","2 Hz"
"Mengrou Wang","2023/11/27","Enhanced nanogenerator by embedding lead-free double perovskite Cs 2 AgBiBr 6 in polymer matrix for hybrid energy harvesting  ","https://pubs.rsc.org/en/content/articlehtml/2024/tc/d3tc03314g","10.1039/D3TC03314G","energy harvester","use of energy from motion","contact-separation","","PVDF","copper","210 V","64.2 nA","0.39 W m−2","11.0 mA m−2","0.0615 μC cm−2","tribonegative layer 70 μm ","1.2 cm × 1.2 cm","8 Hz"
"Xin Sun","2023/10/31","Intrinsically stretchable porous liquid–metal conductor for multifunctional electronics applications  ","https://pubs.rsc.org/en/content/articlehtml/2023/tc/d3tc03531j","10.1039/D3TC03531J","sensor","tactile/motion sensor","single-electrode","","","","184.4 V","8.2 μA","","","","","","2 Hz"
"Debmalya Sarkar","2023/12/02","Micro-patterned BaTiO 3 @Ecoflex nanocomposite-assisted self-powered and wearable triboelectric nanogenerator with improved charge retention by 2D MoTe 2 /PVDF nanofibrous layer  ","https://pubs.rsc.org/en/content/articlehtml/2024/tc/d3tc03822j","10.1039/D3TC03822J","sensor","tactile/motion sensor","contact-separation","silk","PVDF","copper","319 V","","2.9 W m−2","9 mA m−2","4 C m−2","","4.4×2.5 cm2","10 Hz"
"Hongde Zhu","2023/12/14","Enhancing PDMS-based triboelectric nanogenerator output by optimizing the microstructure and dielectric constant  ","https://pubs.rsc.org/en/content/articlehtml/2024/tc/d3tc03976e","10.1039/D3TC03976E","sensor","tactile/motion sensor","","","PDMS","Cu","49.94 V","6.18 μA","162.01 mW m−2","","","electrode 0.3 mm ","","1 Hz"
"Preeti Lata Mahapatra","2024/02/09","3D-printed flexible energy harvesting devices designed using non-layered two-dimensional natural tourmaline silicates  ","https://pubs.rsc.org/en/content/articlehtml/2024/tc/d3tc04167k","10.1039/D3TC04167K","energy harvester","use of energy from motion","","cellulose","PVDF","copper","5 V","","3 W m−2","","10 C m−2","","1 cm × 3.8 cm",""
"M. Navaneeth","2023/04/04","A medical waste X-ray film based triboelectric nanogenerator for self-powered devices, sensors, and smart buildings  ","https://pubs.rsc.org/en/content/articlehtml/2023/va/d3va00018d","10.1039/D3VA00018D","sensor","","contact-separation","","","aluminum","291 V","62.8 μA","1.39 W m−2","","","","3×3 cm2","4 Hz"
"Xuemei Zhang","2024/05/09","Ultrahigh voltage direct current quasi-tribovoltaic nanogenerator by switchable tribo-bias induction and deposited charge extraction  ","https://pubs.rsc.org/en/content/articlehtml/2024/ee/d4ee01067a","10.1039/D4EE01067A","sensor","tactile/motion sensor","","polyamide","fluorinated ethylene propylene","copper","2324 V","","","63.5 μA m−2","417.5 μC m−2","electrode 1 mm ","24.6 cm2",""
"Zeyuan Cao","2024/04/16","Ultrahigh power generation from low-frequency and micro motion by suppressing air breakdown  ","https://pubs.rsc.org/en/content/articlehtml/2024/ee/d4ee01119h","10.1039/D4EE01119H","sensor","tactile/motion sensor","contact-separation","","polyetherimide","carbon","1 kV","","1520 W m−3","","1.95 mC m−2","","0.001 m2","1 Hz"
"Swati Deswal","2024/04/15","Triboelectric nanogenerator based on electrospun molecular ferroelectric composite nanofibers for energy harvesting  ","https://pubs.rsc.org/en/content/articlehtml/2024/lp/d4lp00024b","10.1039/D4LP00024B","energy harvester","","contact-separation","","","","203.8 V","","416.2 mW m−2","","23 μC cm−2","","","1.3 Hz"
"Wanting Li","2024/04/16","A heterostructure nanofiber film with an enhanced internal electrical field and surface plasmon resonance for efficient microbial removal  ","https://pubs.rsc.org/en/content/articlehtml/2024/ma/d4ma00026a","10.1039/D4MA00026A","sensor","tactile/motion sensor","","","PVDF","","6.3 V","3 μA","","","","","6 cm2","50 Hz"
"Ahmed Abdelhamid Maamoun","2024/06/19","Effect of density and thickness of flexible polyurethane foam on the performance of triboelectric nanogenerators  ","https://pubs.rsc.org/en/content/articlehtml/2024/ma/d4ma00304g","10.1039/D4MA00304G","energy harvester","use of energy from water/fluid","contact-separation","polystyrene","polystyrene","Al","273 V","10.2 μA","9.7 mW m−2","","","","8×5.5 cm2","5 Hz"
"Feixiang Wang","2024/12/19","High-performance triboelectric nanogenerator employing a swing-induced counter-rotating motion mechanism and a dual potential energy storage and release strategy for wave energy harvesting  ","https://pubs.rsc.org/en/content/articlehtml/2025/mh/d4mh01491j","10.1039/D4MH01491J","energy harvester","use of energy from motion","freestanding","nylon","FEP","copper","450 V","51.2 μA","20.21 W m−3","","","","","2.04 Hz"
"Weichao Wang","2024/05/10","Triboelectric–electromagnetic hybrid nanogenerator for harvesting blue energy and creating an ocean wave warning system  ","https://pubs.rsc.org/en/content/articlehtml/2024/na/d4na00222a","10.1039/D4NA00222A","energy harvester","use of energy from water/fluid","","","","copper","110 V","2.4 μA","","","","","","2 Hz"
"Chen-Hung Lee","2024/12/04","Augmented triboelectric properties of graphene-filled poly(vinylidene difluoride- co -hexafluoropropylene) (PVDF-HFP) nanofibers ","https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra07550a","10.1039/D4RA07550A","energy harvester","","freestanding","silk","polydimethylsiloxane","GO","1024 V","731 nA","13.14 μW cm−2","1.4 μA cm−2","","","","1.5 Hz"
"Doan T. Tung","2025/01/10","A novel polymer composite from polyhexamethylene guanidine hydrochloride for high performance triboelectric nanogenerators (TENGs)  ","https://pubs.rsc.org/en/content/articlehtml/2025/ra/d4ra07768g","10.1039/D4RA07768G","","","contact-separation","","FEP","","664.5 V","116.8 μA","","","","","","20 Hz"
"Gwangseop Lee","2025/03/18","Enhancing output efficiency in self-powered hybrid nanogenerators with micro-pyramid surface design using ceramic/polymer film for flexible wearable electronic devices ","https://pubs.rsc.org/en/content/articlehtml/2025/ra/d4ra08556f","10.1039/D4RA08556F","sensor","tactile/motion sensor","contact-separation","aluminum","PDMS","Al","92 V","129 μA","250 mW cm−3","","","","4×4 cm2",""
"Yanhong Dong","2024/05/27","A high-performance triboelectric nanogenerator with dual nanostructure for remote control of switching circuit  ","https://pubs.rsc.org/en/content/articlehtml/2024/sc/d4sc01432d","10.1039/D4SC01432D","","","contact-separation","nylon","polytetrafluoroethylene","Ag","1.8 V","63.3 μA","","","161.5 μC m−2","","","5 Hz"
"Peng Zhang","2024/05/24","A single-electrode mode triboelectric nanogenerator based on natural leaves for harvesting energy  ","https://pubs.rsc.org/en/content/articlehtml/2024/se/d4se00177j","10.1039/D4SE00177J","energy harvester","use of energy from water/fluid","contact-separation","aluminum","","","259 V","30.4 μA","","","9.25 μC m−2","","2 cm × 2 cm","3 Hz"
"Seong-Yun Yun","2024/03/25","A triboelectric nanogenerator with synergistic complementary nanopatterns fabricated by block copolymer self-assembly  ","https://pubs.rsc.org/en/content/articlehtml/2024/ta/d4ta00497c","10.1039/D4TA00497C","sensor","tactile/motion sensor","contact-separation","","Teflon","Au","442.0 V","22.2 μA","","","","","","4.0 Hz"
"Changcheng Bao","2024/05/29","Study on the surface charge transfer mechanism induced by dual-electric field mutual inductance  ","https://pubs.rsc.org/en/content/articlehtml/2024/ta/d4ta02651a","10.1039/D4TA02651A","sensor","tactile/motion sensor","freestanding","","","copper","130 V","","","","","electrode 80 μm ","","0.4 Hz"
"Yan Wu","2025/05/29","Pressurized well-inspired triboelectric nanogenerators for harvesting water wave energy toward marine environmental applications  ","https://pubs.rsc.org/en/content/articlehtml/2025/ta/d4ta09110h","10.1039/D4TA09110H","energy harvester","use of energy from water/fluid","","nylon","polytetrafluoroethylene","copper","1380 V","13.87 μA","","","","tribonegative layer 5 mm ","","3 Hz"
"Yaqian Liu","2024/05/16","Stretchable and stable neuromorphic tactile system  ","https://pubs.rsc.org/en/content/articlehtml/2024/tc/d4tc01144a","10.1039/D4TC01144A","sensor","tactile/motion sensor","contact-separation","","PDMS","Ag","","","","","","","","4 Hz"
"Irthasa Aazem","2025/03/10","Electroactive phase dependent triboelectric nanogenerator performance of PVDF–TiO 2 composites  ","https://pubs.rsc.org/en/content/articlehtml/2025/ya/d4ya00525b","10.1039/D4YA00525B","energy harvester","use of energy from motion","contact-separation","nylon","PVDF","","98.9 V","450 nA","3.0 W m−2","1.67 mA m−2","","","","8 Hz"
"Shailendra Kumar","2025/05/07","Energy augmentation of triboelectric nanogenerators using PDMS–MWCNT composites and their applications in IoT and HMI sensing  ","https://pubs.rsc.org/en/content/articlehtml/2025/lp/d5lp00076a","10.1039/D5LP00076A","sensor","tactile/motion sensor","contact-separation","","PDMS","copper","110 V","10.0 μA","70 W m−2","","637 μC m−2","","16 cm2","4.4 Hz"
"Anjaly Babu","2025/05/19","Functionalized MIL-125(Ti)-based high-performance triboelectric nanogenerators for hygiene monitoring  ","https://pubs.rsc.org/en/content/articlehtml/2025/ma/d5ma00283d","10.1039/D5MA00283D","sensor","tactile/motion sensor","","aluminum","Kapton","aluminum","512 V","512 μA","6.75 W m−2","","","","","4 Hz"
"Abdul Khayum Mohammed","2025/11/20","A polarized broken framework for electrical energy harvesting from mechanical friction ","https://pubs.rsc.org/en/content/articlehtml/2026/mh/d5mh01318f","10.1039/D5MH01318F","energy harvester","use of energy from motion","","nylon","FEP","copper","","","","","","","","10 Hz"
"Gokana Mohana Rani","2025/10/22","Developing real-time IoT-enabled next-generation fire alarm systems using SrBi 4 Ti 4 O 15 /PDMS flexible triboelectric nanogenerators ","https://pubs.rsc.org/en/content/articlehtml/2026/mh/d5mh01578b","10.1039/D5MH01578B","energy harvester","use of energy from motion","contact-separation","","PDMS","aluminum","375.7 V","20.8 μA","200 μW cm−2","","","","1.5×1.5 cm2","5 Hz"
"Bernd Wicklein","2025/04/16","Multifunctional Ti 3 C 2 T x -alginate foams for energy harvesting and fire warning  ","https://pubs.rsc.org/en/content/articlehtml/2025/nh/d5nh00049a","10.1039/D5NH00049A","energy harvester","use of energy from water/fluid","","cellulose","","","310 V","","172 mW m−2","9.1 mA m−2","","","",""
"Doan T. Tung","2025/06/02","Antibacterial and electrical performance of triboelectric nanogenerators based on polyhexamethylene guanidine hydrochloride in high humidity environments ","https://pubs.rsc.org/en/content/articlehtml/2025/ra/d5ra02735g","10.1039/D5RA02735G","energy harvester","","contact-separation","","fluorinated ethylene propylene","copper","1470.6 V","","","","","","",""
"Orkhan Gulahmadov","2025/09/04","Porous polysiloxane MWCNT nanocomposites for high-performance and scalable triboelectric nanogenerators ","https://pubs.rsc.org/en/content/articlehtml/2025/ra/d5ra05894e","10.1039/D5RA05894E","energy harvester","","contact-separation","nylon","","aluminum","65 V","6.9 μA","280.6 mW m−2","","","","4 cm × 4 cm","60 Hz"
"Yuanjie Su","2016/04/20","Wind energy harvesting and self-powered flow rate sensor enabled by contact electrification","https://iopscience.iop.org/article/10.1088/0022-3727/49/21/215601","10.1088/0022-3727/49/21/215601","energy harvester","use of energy from wind","","","","ITO","37 V","6.2 μA","","","","","","32.4 Hz"
"E S Nour","2015/02/13","A flexible anisotropic self-powered piezoelectric direction sensor based on double sided ZnO nanowires configuration","https://iopscience.iop.org/article/10.1088/0957-4484/26/9/095502","10.1088/0957-4484/26/9/095502","sensor","tactile/motion sensor","","aluminum","","ZnO","1.5 V","1.3 mA","10 pW mm−2","","","","",""
"Lei Du","2024/08/07","Recent advances in piezoelectric and triboelectric self-powered sensors for human–machine interface applications","https://iopscience.iop.org/article/10.1088/1361-6439/ad6778","10.1088/1361-6439/ad6778","sensor","tactile/motion sensor","single-electrode","cellulose","silicone rubber","copper","427.95 V","677.45 nA","168.1 mW m−2","","0.0406 C m−2","","6 cm2","0.41 Hz"
"Qingshen Jing","2018/06/27","Nanostructured polymer-based piezoelectric and triboelectric materials and devices for energy harvesting applications","https://iopscience.iop.org/article/10.1088/1361-6463/aac827","10.1088/1361-6463/aac827","energy harvester","use of energy from water/fluid","contact-separation","cellulose","PDMS","gold","17 V","","","","","","","5 Hz"
"Peiyi Song","2018/10/25","Nanogenerators for wearable bioelectronics and biodevices","https://iopscience.iop.org/article/10.1088/1361-6463/aae44d","10.1088/1361-6463/aae44d","sensor","tactile/motion sensor","contact-separation","","fluorinated ethylene propylene","copper","","0.223 mA","500 W m−2","","","","",""
"Qianwen Wang","2021/08/05","Scalable and washable 3D warp-knitted spacer power fabrics for energy harvesting and pressure sensing","https://iopscience.iop.org/article/10.1088/1361-6463/ac181c","10.1088/1361-6463/ac181c","energy harvester","use of energy from motion","contact-separation","","PE","silver","","","2.6 mW m−2","","","","5×4 cm2","5 Hz"
"Haowei Lu","2022/08/23","A comprehensive review of organic-inorganic composites based piezoelectric nanogenerators through material structure design","https://iopscience.iop.org/article/10.1088/1361-6463/ac88dd","10.1088/1361-6463/ac88dd","energy harvester","use of energy from wind","","nylon","PDMS","carbon nanotube","240 V","329 μA","110 μW cm−3","290 μA cm−2","75 μC m−2","","","14 Hz"
"Chang-Heng Li","2023/06/30","Advanced materials for triboelectric nanogenerator","https://iopscience.iop.org/article/10.1088/1361-6463/acdd0c","10.1088/1361-6463/acdd0c","energy harvester","use of energy from motion","contact-separation","wood","silicone rubber","copper","398 V","188 nA","1087.6 mW m−2","","240 μC m−2","","","3 Hz"
"Xuhua Guo","2023/09/27","Triboelectric nanogenerators: theoretical calculations, materials, and applications in net-zero emissions","https://iopscience.iop.org/article/10.1088/1361-6463/acf770","10.1088/1361-6463/acf770","energy harvester","use of energy from water/fluid","lateral sliding","fur","FEP","aluminum","400 V","270 μA","17.79 W m−2","78 mA m−2","250 μC m−2","","","1 Hz"
"Sagar Sardana","2023/12/22","Triboelectric nanogenerator-integrated symmetric supercapacitor based on TiO2 encrusted MXene nanosheets for energy harvesting and storage applications","https://iopscience.iop.org/article/10.1088/1361-6463/ad14ba","10.1088/1361-6463/ad14ba","energy harvester","use of energy from water/fluid","contact-separation","","","silver","105 V","","1440 mW m−2","","","","","10 Hz"
"Hosangadi Prutvi Sagar","2021/06/11","Triboelectric effect based self-powered compact vibration sensor for predictive maintenance of industrial machineries","https://iopscience.iop.org/article/10.1088/1361-6501/abe6d2","10.1088/1361-6501/abe6d2","sensor","audio sensor","contact-separation","","Teflon","","","8.88 µA","0.5 W m−2","","","","","60 Hz"
"Danish Ali","2017/01/13","Enhancement of output performance through post-poling technique on BaTiO3/PDMS-based triboelectric nanogenerator","https://iopscience.iop.org/article/10.1088/1361-6528/aa52b7","10.1088/1361-6528/aa52b7","","","contact-separation","","PDMS","Al","10 kV","","","0.3 μA cm−2","","","","1.8 Hz"
"Daehoon Park","2018/03/09","Ferroelectric nanoparticle-embedded sponge structure triboelectric generators","https://iopscience.iop.org/article/10.1088/1361-6528/aaafa3","10.1088/1361-6528/aaafa3","","","contact-separation","","PDMS","ITO","450 V","","","","","","","3.5 Hz"
"Wei Li","2018/03/19","Fabrication, characterization and in vitro evaluation of triboelectric nanogenerator based on 317 L stainless steel and polylactic acid","https://iopscience.iop.org/article/10.1088/1361-6528/aab280","10.1088/1361-6528/aab280","energy harvester","","","","PDMS","silver","150 V","60 μA","","","","","",""
"Wenliang Yang","2019/09/30","A facile hot-pressing process for fabricating flexible top electrodes of piezoelectric ZnO nanowire nanogenerators","https://iopscience.iop.org/article/10.1088/1361-6528/ab3e14","10.1088/1361-6528/ab3e14","energy harvester","","","","PDMS","Zn","2.2 V","8 nA","","","","","",""
"Jingwen Tian","2020/03/30","Environmental energy harvesting based on triboelectric nanogenerators","https://iopscience.iop.org/article/10.1088/1361-6528/ab793e","10.1088/1361-6528/ab793e","energy harvester","use of energy from motion","contact-separation","aluminum","fluorinated ethylene propylene","carbon black","1000 V","10 μA","42.6 W m−2","","","","","1 Hz"
"Junmeng Guo","2020/05/05","The recent progress of triboelectric nanogenerator-assisted photodetectors","https://iopscience.iop.org/article/10.1088/1361-6528/ab841e","10.1088/1361-6528/ab841e","sensor","tactile/motion sensor","","","polytetrafluoroethylene","Au","335 V","4.9 nA","100 mW cm−2","","","","",""
"S Parandeh","2020/07/03","Triboelectric nanogenerators based on graphene oxide coated nanocomposite fibers for biomedical applications","https://iopscience.iop.org/article/10.1088/1361-6528/ab9972","10.1088/1361-6528/ab9972","energy harvester","use of energy from water/fluid","contact-separation","","","silver","100 V","1.4 µA","","","","","","3 Hz"
"Chinathun Pinming","2020/12/08","Carbon nanotube/polydimethylsiloxane composite micropillar arrays using non-lithographic silicon nanowires as a template for performance enhancement of triboelectric nanogenerators","https://iopscience.iop.org/article/10.1088/1361-6528/abcb7c","10.1088/1361-6528/abcb7c","sensor","tactile/motion sensor","contact-separation","","PDMS","carbon nanotube","22.84 V","","0.85 W m−2","","","","",""
"Xiaohu Ren","2021/05/14","All-yarn triboelectric nanogenerator and supercapacitor based self-charging power cloth for wearable applications","https://iopscience.iop.org/article/10.1088/1361-6528/abfcfe","10.1088/1361-6528/abfcfe","energy harvester","use of energy from motion","single-electrode","","silicone rubber","copper","60 V","2.4 μA","90 mW·m−2","","","","","2 Hz"
"Huidrom Hemojit Singh","2021/09/08","A ferroelectric nanocomposite-film-based device for harvesting energy from water droplets using both piezoelectric and triboelectric effects","https://iopscience.iop.org/article/10.1088/1361-6528/ac171b","10.1088/1361-6528/ac171b","energy harvester","use of energy from water/fluid","lateral sliding","","polytetrafluoroethylene","silver","2.72 mV","20 nA","","","0.06 μC cm−2","","",""
"Yong-Mei Wang","2021/11/15","Highly stable metal-organic framework UiO-66-NH2 for high-performance triboelectric nanogenerators","https://iopscience.iop.org/article/10.1088/1361-6528/ac32f8","10.1088/1361-6528/ac32f8","","","contact-separation","aluminum","PDMS","","375 V","","","","","","","2 Hz"
"Lisa Sarkar","2022/04/08","ZnO nanoparticles embedded silk fibroin—a piezoelectric composite for nanogenerator applications","https://iopscience.iop.org/article/10.1088/1361-6528/ac5d9f","10.1088/1361-6528/ac5d9f","energy harvester","use of energy from water/fluid","","silk","","copper","25 V","","6.67 mW cm−3","","","electrode 2.4 nm ","1.5 cm × 2.5 cm",""
"Faezeh Ejehi","2022/09/07","Self-powered ultraviolet/visible photodetector based on graphene-oxide via triboelectric nanogenerators performing by finger tapping","https://iopscience.iop.org/article/10.1088/1361-6528/ac8a52","10.1088/1361-6528/ac8a52","sensor","","freestanding","","Kapton","aluminum","","","10 mW cm−2","","","","","3 Hz"
"Mengying Lian","2022/10/28","Waterwheel-inspired high-performance hybrid electromagnetic-triboelectric nanogenerators based on fluid pipeline energy harvesting for power supply systems and data monitoring","https://iopscience.iop.org/article/10.1088/1361-6528/ac97f1","10.1088/1361-6528/ac97f1","energy harvester","use of energy from water/fluid","","fur","","copper","3750 V","28 μA","","","","","",""
